household_id,cluster
22,1
42,0
56,0
58,1
64,2
88,2
95,1
163,1
198,1
202,2
209,2
218,1
223,1
228,2
245,2
246,2
322,2
325,2
342,2
344,1
352,1
358,1
362,0
451,2
471,1
474,0
500,0
518,1
519,1
545,1
559,-2
602,2
604,0
611,2
618,0
635,2
654,0
664,2
675,1
720,1
728,2
774,0
804,2
810,0
823,1
827,2
841,1
860,2
871,0
873,0
885,1
890,0
895,0
896,2
901,2
903,2
965,2
989,0
992,2
1001,0
1013,1
1019,2
1029,1
1035,0
1091,2
1099,1
1109,2
1118,2
1124,0
1154,1
1169,2
1180,0
1185,1
1195,1
1199,2
1216,1
1224,0
1236,1
1248,1
1258,2
1271,2
1383,1
1410,2
1420,1
1423,2
1432,1
1441,2
1451,2
1467,2
1501,0
1507,2
1518,1
1526,2
1530,1
1531,2
1548,2
1563,2
1566,0
1567,0
1577,1
1580,1
1596,2
1640,-3
1645,1
1648,1
1653,2
1685,1
1687,2
1691,1
1708,2
1710,1
1732,1
1739,1
1745,2
1768,2
1786,2
1788,2
1803,1
1810,2
1812,1
1820,0
1834,1
1841,2
1853,2
1858,2
1861,2
1892,2
1893,1
1906,0
1907,2
1910,0
1923,1
1957,0
1959,2
1979,2
1981,2
1998,0
2002,2
2064,-3
2102,0
2111,0
2115,1
2194,2
2219,1
2220,2
2233,0
2246,2
2252,0
2313,0
2319,1
2341,2
2346,2
2374,1
2433,0
2453,2
2466,2
2467,1
2495,1
2497,1
2506,1
2516,2
2537,1
2550,0
2551,1
2586,1
2596,2
2599,0
2609,1
2614,1
2615,2
2621,2
2641,0
2678,2
2693,2
2699,2
2748,1
2751,2
2752,2
2764,2
2792,1
2846,2
2850,1
2865,2
2868,1
2874,2
2935,0
2938,-2
2944,1
2947,0
2960,0
2989,1
3007,2
3036,0
3052,1
3062,0
3073,0
3074,1
3080,2
3085,2
3124,1
3134,0
3135,0
3137,2
3150,1
3205,2
3219,2
3220,2
3230,0
3258,0
3267,0
3289,1
3294,0
3310,1
3313,1
3366,2
3367,1
3377,1
3386,2
3387,0
3405,2
3410,1
3427,0
3433,2
3447,1
3454,2
3456,2
3467,2
3487,2
3506,1
3546,2
3614,1
3657,2
3658,1
3660,1
3691,2
3719,2
3732,2
3747,1
3770,0
3787,1
3793,0
3823,1
3863,2
3884,2
3895,1
3901,1
3908,2
3914,2
3961,1
3966,0
3969,2
3976,1
3979,2
4064,2
4069,1
4107,0
4141,1
4158,1
4161,0
4167,1
4172,2
4178,0
4189,0
4190,0
4202,2
4205,2
4213,1
4268,2
4294,2
4295,1
4352,0
4355,2
4370,2
4376,2
4383,1
4394,2
4400,1
4405,1
4438,2
4445,1
4448,1
4477,2
4488,2
4529,2
4533,1
4563,2
4564,1
4573,1
4578,1
4671,1
4672,1
4702,1
4735,0
4744,2
4754,0
4756,2
4758,2
4780,1
4785,0
4814,1
4816,2
4825,2
4847,1
4855,0
4858,0
4918,1
4953,0
4969,2
4989,2
5011,0
5027,2
5029,1
5033,0
5036,2
5061,1
5062,1
5119,2
5168,1
5173,2
5202,1
5205,1
5228,2
5238,2
5243,0
5259,2
5270,1
5297,1
5331,2
5343,2
5352,1
5353,1
5373,0
5424,2
5438,-2
5451,0
5465,1
5472,0
5489,0
5494,2
5541,0
5544,2
5546,1
5582,2
5584,2
5587,2
5618,0
5629,1
5651,0
5655,1
5660,1
5685,2
5696,2
5717,0
5778,1
5799,2
5804,2
5805,0
5820,1
5846,-2
5873,0
5874,2
5880,2
5926,2
5946,2
5965,1
5976,2
6009,2
6017,2
6043,1
6058,1
6063,2
6097,2
6127,0
6130,0
6153,2
6158,2
6172,2
6215,0
6217,2
6220,1
6227,1
6232,1
6233,2
6244,0
6246,1
6284,-2
6285,2
6289,2
6339,2
6353,1
6354,2
6391,0
6408,0
6410,2
6447,1
6457,2
6461,1
6463,2
6475,2
6481,0
6504,2
6524,1
6525,2
6527,1
6559,0
6592,0
6594,1
6623,1
6640,2
6641,1
6656,1
6665,2
6670,1
6718,0
6773,1
6831,2
6837,2
6848,2
6860,0
6873,0
6909,1
6911,1
6920,1
6921,2
6934,1
6955,2
6988,1
7005,0
7047,1
7092,1
7095,2
7165,0
7168,0
7181,1
7190,-1
7213,1
7222,2
7241,1
7285,2
7289,1
7296,2
7297,0
7322,1
7324,2
7334,2
7363,0
7371,1
7373,2
7390,2
7420,0
7433,-1
7436,2
7460,2
7465,1
7471,2
7478,1
7523,1
7537,1
7558,1
7581,0
7588,2
7599,2
7603,2
7613,0
7665,0
7680,0
7690,1
7698,0
7730,2
7747,2
7753,1
7788,2
7799,2
7835,2
7862,2
7919,2
7941,1
7945,1
7969,0
7979,0
7982,0
7987,2
7989,1
8007,2
8008,0
8022,1
8057,0
8079,0
8080,2
8081,2
8099,2
8104,2
8112,2
8117,2
8122,2
8140,1
8175,2
8208,1
8224,2
8231,2
8247,2
8266,1
8278,1
8280,1
8288,0
8324,1
8344,1
8345,1
8382,2
8410,-1
8415,2
8417,1
8427,1
8447,2
8473,2
8488,2
8513,2
8518,1
8521,1
8531,2
8543,1
8562,1
8597,1
8605,1
8672,1
8696,0
8729,2
8763,0
8770,2
8793,0
8822,-2
8832,0
8849,1
8877,2
8886,1
8891,0
8896,1
8919,0
8922,0
8937,2
8972,1
9002,1
9031,1
9067,0
9078,0
9121,2
9135,1
9153,2
9154,1
9160,2
9164,1
9165,2
9196,1
9204,1
9241,0
9289,2
9305,2
9328,2
9342,0
9368,1
9401,2
9403,2
9409,2
9453,2
9461,0
9465,1
9510,2
9524,2
9564,1
9678,2
9706,2
9730,2
9736,0
9752,2
9797,1
9810,2
9845,2
9859,2
9946,2
9965,0
10001,2
10012,1
10030,2
10041,1
10042,0
10047,0
10053,0
10061,2
10081,2
10108,1
10111,0
10115,2
10152,2
10161,1
10177,0
10178,2
10180,1
10190,1
10204,2
10216,2
10241,2
10257,2
10268,-2
10290,1
10293,1
10349,0
10426,1
10441,1
10447,0
10452,2
10498,2
10500,1
10521,1
10538,2
10541,2
10554,2
10569,1
10597,2
10613,2
10629,1
10634,2
10640,0
10651,2
10664,1
10671,0
10685,2
10687,2
10689,2
10692,2
10698,1
10701,0
10703,1
10712,1
10730,2
10738,1
10741,2
10770,0
