household_id,cluster
22,0
42,0
56,0
58,1
64,1
88,0
95,0
163,1
198,1
202,1
209,0
218,0
223,0
228,1
245,0
246,1
322,0
325,1
342,1
344,1
352,0
358,0
362,0
451,1
471,0
474,0
500,0
518,1
519,0
545,0
559,-2
602,0
604,0
611,1
618,0
635,0
654,0
664,0
675,1
720,1
728,1
774,0
804,0
810,0
823,0
827,0
841,1
860,0
871,0
873,0
885,1
890,0
895,0
896,1
901,0
903,0
965,0
989,0
992,1
1001,0
1013,0
1019,1
1029,1
1035,1
1091,1
1099,0
1109,1
1118,1
1124,0
1154,0
1169,1
1180,0
1185,1
1195,1
1199,1
1216,1
1224,0
1236,1
1248,1
1258,1
1271,1
1383,1
1410,1
1420,1
1423,1
1432,1
1441,1
1451,1
1467,1
1501,0
1507,1
1518,0
1526,1
1530,0
1531,1
1548,1
1563,1
1566,0
1567,0
1577,1
1580,0
1596,1
1640,-3
1645,1
1648,1
1653,1
1685,1
1687,1
1691,0
1708,0
1710,1
1732,1
1739,1
1745,1
1768,1
1786,0
1788,1
1803,0
1810,1
1812,1
1820,0
1834,1
1841,1
1853,1
1858,0
1861,1
1892,1
1893,1
1906,0
1907,1
1910,0
1923,0
1957,0
1959,1
1979,1
1981,1
1998,0
2002,1
2064,-3
2102,0
2111,0
2115,0
2194,1
2219,1
2220,1
2233,0
2246,1
2252,0
2313,0
2319,1
2341,1
2346,1
2374,0
2433,0
2453,1
2466,0
2467,1
2495,1
2497,0
2506,1
2516,1
2537,0
2550,0
2551,1
2586,0
2596,1
2599,0
2609,0
2614,1
2615,0
2621,1
2641,0
2678,1
2693,1
2699,0
2748,0
2751,1
2752,1
2764,1
2792,0
2846,1
2850,1
2865,1
2868,0
2874,1
2935,0
2938,-2
2944,0
2947,0
2960,0
2989,1
3007,1
3036,0
3052,1
3062,0
3073,0
3074,0
3080,0
3085,1
3124,1
3134,0
3135,0
3137,1
3150,1
3205,0
3219,1
3220,1
3230,0
3258,0
3267,0
3289,0
3294,0
3310,0
3313,1
3366,0
3367,1
3377,0
3386,1
3387,0
3405,1
3410,0
3427,0
3433,1
3447,0
3454,0
3456,1
3467,0
3487,1
3506,1
3546,1
3614,0
3657,1
3658,0
3660,1
3691,1
3719,0
3732,1
3747,1
3770,0
3787,0
3793,0
3823,0
3863,1
3884,0
3895,0
3901,1
3908,0
3914,1
3961,1
3966,0
3969,1
3976,1
3979,1
4064,0
4069,1
4107,0
4141,1
4158,0
4161,0
4167,0
4172,1
4178,0
4189,0
4190,1
4202,1
4205,1
4213,0
4268,0
4294,1
4295,1
4352,0
4355,0
4370,0
4376,1
4383,1
4394,0
4400,1
4405,1
4438,1
4445,1
4448,0
4477,0
4488,1
4529,0
4533,1
4563,1
4564,1
4573,1
4578,1
4671,0
4672,0
4702,0
4735,0
4744,1
4754,0
4756,1
4758,1
4780,1
4785,0
4814,1
4816,0
4825,1
4847,0
4855,0
4858,0
4918,1
4953,0
4969,1
4989,1
5011,0
5027,1
5029,1
5033,0
5036,1
5061,1
5062,0
5119,0
5168,0
5173,1
5202,1
5205,1
5228,0
5238,1
5243,0
5259,1
5270,1
5297,0
5331,1
5343,1
5352,1
5353,1
5373,0
5424,1
5438,-2
5451,0
5465,1
5472,0
5489,0
5494,1
5541,0
5544,0
5546,0
5582,0
5584,1
5587,0
5618,0
5629,0
5651,0
5655,1
5660,0
5685,1
5696,1
5717,0
5778,1
5799,1
5804,1
5805,0
5820,0
5846,-2
5873,0
5874,1
5880,1
5926,1
5946,0
5965,1
5976,1
